#: table_doi: 10.17182/hepdata.84819.v1/t3
#: name: Table 3
#: description: No description provided.
#: data_file: JER.yaml
#: keyword reactions: P P --> JETS X
#: keyword observables: SiGMA(PTRECO / PTTRUTH)
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,pp
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
149.5,141,158,0.0852,0.0007,-0.0007
168.0,158,178,0.0803,0.0005,-0.0005
189.0,178,200,0.0773,0.0004,-0.0004
212.0,200,224,0.0747,0.0004,-0.0004
237.5,224,251,0.072,0.0004,-0.0004
266.5,251,282,0.0697,0.0004,-0.0004
299.0,282,316,0.0676,0.0005,-0.0005
335.5,316,355,0.0672,0.0005,-0.0005
376.5,355,398,0.0652,0.0006,-0.0006
422.5,398,447,0.06266,0.00027,-0.00027
474.0,447,501,0.06071,0.00025,-0.00025
531.5,501,562,0.05947,0.00029,-0.00029
596.5,562,631,0.05855,0.00033,-0.00033
669.5,631,708,0.0573,0.0004,-0.0004
751.0,708,794,0.056,0.0006,-0.0006
842.5,794,891,0.05475,0.0002,-0.0002
945.5,891,1000,0.05411,0.00019,-0.00019

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,60-70 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
42.5,40,45,0.1495,0.001,-0.001
47.5,45,50,0.136,0.001,-0.001
53.0,50,56,0.128,0.001,-0.001
59.5,56,63,0.119,0.0009,-0.0009
67.0,63,71,0.1115,0.0008,-0.0008
75.0,71,79,0.1062,0.0007,-0.0007
84.0,79,89,0.1008,0.0007,-0.0007
94.5,89,100,0.096,0.0007,-0.0007
106.0,100,112,0.0931,0.0007,-0.0007
119.0,112,126,0.0862,0.0006,-0.0006
133.5,126,141,0.0836,0.0006,-0.0006
149.5,141,158,0.0815,0.0007,-0.0007
168.0,158,178,0.0783,0.0005,-0.0005
189.0,178,200,0.0749,0.0004,-0.0004
212.0,200,224,0.0726,0.0004,-0.0004
237.5,224,251,0.071,0.0004,-0.0004
266.5,251,282,0.0694,0.0004,-0.0004
299.0,282,316,0.0672,0.0005,-0.0005
335.5,316,355,0.0653,0.0005,-0.0005
376.5,355,398,0.0645,0.0005,-0.0005
422.5,398,447,0.062,0.00025,-0.00025
474.0,447,501,0.06104,0.00026,-0.00026
531.5,501,562,0.06015,0.00029,-0.00029
596.5,562,631,0.05872,0.00033,-0.00033
669.5,631,708,0.0574,0.0004,-0.0004
751.0,708,794,0.0543,0.0005,-0.0005
842.5,794,891,0.05478,0.0002,-0.0002
945.5,891,1000,0.05401,0.00018,-0.00018

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,70-80 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
42.5,40,45,0.1378,0.0016,-0.0016
47.5,45,50,0.1301,0.0016,-0.0016
53.0,50,56,0.1229,0.0016,-0.0016
59.5,56,63,0.1122,0.0015,-0.0015
67.0,63,71,0.1064,0.0013,-0.0013
75.0,71,79,0.1023,0.0013,-0.0013
84.0,79,89,0.0954,0.0011,-0.0011
94.5,89,100,0.0919,0.0011,-0.0011
106.0,100,112,0.0883,0.0011,-0.0011
119.0,112,126,0.087,0.0011,-0.0011
133.5,126,141,0.0814,0.0011,-0.0011
149.5,141,158,0.0802,0.0012,-0.0012
168.0,158,178,0.0763,0.0008,-0.0008
189.0,178,200,0.0743,0.0007,-0.0007
212.0,200,224,0.0721,0.0007,-0.0007
237.5,224,251,0.0694,0.0007,-0.0007
266.5,251,282,0.0694,0.0007,-0.0007
299.0,282,316,0.0662,0.0007,-0.0007
335.5,316,355,0.0666,0.0009,-0.0009
376.5,355,398,0.0633,0.0009,-0.0009
422.5,398,447,0.0622,0.0005,-0.0005
474.0,447,501,0.0607,0.0004,-0.0004
531.5,501,562,0.0592,0.0005,-0.0005
596.5,562,631,0.0585,0.0006,-0.0006
669.5,631,708,0.0567,0.0007,-0.0007
751.0,708,794,0.055,0.001,-0.001
842.5,794,891,0.0547,0.00033,-0.00033
945.5,891,1000,0.05451,0.00032,-0.00032

